vin,county,city,state,postal_code,model_year,make,model,electric_vehicle_type,cafv_eligibility,electric_range,base_msrp,legislative_district,dol_vehicle_id,vehicle_location,electric_utility,census_tract
1G1FX6S0XK,King,Seattle,WA,98118,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,37,275613579,POINT (-122.2753318 47.5411053),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010102
KL8CK6S08F,Clark,La Center,WA,98629,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,20,171163254,POINT (-122.631475 45.887713),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040202
5YJSA1H45F,Spokane,Spokane,WA,99208,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,7,227501347,POINT (-117.4268937 47.7323627),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010507
KM8K53AG8K,Pierce,Lakewood,WA,98498,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,28,3637770,POINT (-122.557924 47.16364),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053071902
5YJSA1AG0D,Snohomish,Snohomish,WA,98296,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44,156867931,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052122
YV4H60DL0N,King,Seattle,WA,98112,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,43,219663055,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007600
JTJHKCFZ1P,King,Renton,WA,98059,2023,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,5,255478667,POINT (-122.134502 47.492627),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031913
5YJSA1BG2D,Snohomish,Gold Bar,WA,98251,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,39,215266824,POINT (-121.6339493 47.8380285),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053803
YV4H60CM3N,Chelan,Wenatchee,WA,98801,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,12,202421740,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007961304
SADHB2S16L,King,Seattle,WA,98116,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,34,265669659,POINT (-122.395519 47.572137),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009701
